District ID,G22AgD,G22AgR,G22AgO,G22AgT,G22AgrCD,G22AgrCR,G22AgrCO,G22AgrCT,G22TreD,G22TreR,G22TreO,G22TreT,G22AudD,G22AudR,G22AudO,G22AudT,G22SosD,G22SosR,G22SosO,G22SosT,G22GovD,G22GovR,G22GovO,G22GovT,G22SenD,G22SenR,G22SenO,G22SenT,G20PreD,G20PreR,G20PreO,G20PreT,G20SenD,G20SenR,G20SenO,G20SenT,G18GovR,G18GovD,G18GovO,G18GovT,G18AgD,G18AgR,G18AgO,G18AgT,G18SosR,G18SosD,G18SosO,G18SosT,G18TreR,G18TreD,G18TreO,G18TreT,G18AudR,G18AudD,G18AudO,G18AudT,G18AgrCR,G18AgrCD,G18AgrCO,G18AgrCT,G16PreR,G16PreD,G16PreO,G16PreT,G16SenR,G16SenD,G16SenO,G16SenT,G14AgR,G14AgD,G14AgO,G14AgT,G14AgrCR,G14AgrCD,G14AgrCO,G14AgrCT,G14TreR,G14TreD,G14TreO,G14TreT,G14AudR,G14AudD,G14AudO,G14AudT,G14SosR,G14SosD,G14SosO,G14SosT,G14GovR,G14GovD,G14GovO,G14GovT,G14SenR,G14SenD,G14SenO,G14SenT,G12PreR,G12PreD,G12PreO,G12PreT
1,3057,2704,0,5761,2661,3076,0,5737,2970,2799,0,5769,3097,2678,0,5775,2731,3051,0,5782,2525,3152,77,5754,2805,3016,1,5822,5610,4808,120,10538,5543,4332,433,10308,3574,4413,111,8098,5586,1522,32,7140,3354,4461,140,7955,2967,4768,121,7856,2834,4889,134,7857,3222,4433,243,7898,4584,5236,716,10536,5196,4578,535,10309,2786,3939,0,6725,3259,2981,351,6591,3001,3506,103,6610,3148,3399,0,6547,2698,3598,383,6679,3734,2961,166,6861,3082,3447,400,6929,3859,7133,163,11155
2,3683,4509,0,8192,2922,5260,0,8182,3533,4654,0,8187,3743,4442,0,8185,3051,5190,0,8241,2831,5318,169,8318,3218,5078,3,8299,5794,7274,283,13351,5790,6809,519,13118,5720,4656,209,10585,6755,2138,53,8946,5543,4566,208,10317,4755,5251,226,10232,4595,5449,262,10306,5394,4576,318,10288,7111,4984,884,12979,7913,4274,587,12774,4523,4270,2,8795,5445,2850,415,8710,4944,3660,174,8778,5125,3410,2,8537,4471,3855,462,8788,5846,3006,245,9097,5007,3640,498,9145,6537,6575,263,13375
3,2736,8889,0,11625,1742,9998,0,11740,2703,8923,0,11626,3036,8647,0,11683,2015,9741,0,11756,1758,10161,78,11997,2200,9736,0,11936,3912,12777,246,16935,3928,12562,238,16728,10062,2749,108,12919,6624,2633,19,9276,9747,2669,101,12517,8802,3427,127,12356,8701,3633,131,12465,9687,2649,164,12500,11781,3138,978,15897,12818,2395,311,15524,8555,2531,0,11086,9244,1522,113,10879,8472,2416,101,10989,8590,2006,0,10596,7816,2691,322,10829,9612,1669,97,11378,8796,2257,267,11320,11156,4146,125,15427
4,1598,10835,0,12433,1063,11423,0,12486,1643,10743,0,12386,1687,10677,0,12364,1218,11284,0,12502,1087,11601,19,12707,1424,11239,0,12663,2370,14520,205,17095,2237,14447,149,16833,11548,1707,39,13294,5566,2766,36,8368,11310,1576,63,12949,10675,2072,72,12819,10874,1835,89,12798,11279,1497,84,12860,13602,1870,781,16253,14241,1479,232,15952,9934,1379,0,11313,10387,750,52,11189,9858,1364,60,11282,10032,1029,0,11061,9752,1152,224,11128,10636,831,81,11548,10263,1118,129,11510,13116,2484,113,15713
5,3196,8434,0,11630,1817,9881,0,11698,3155,8418,0,11573,3282,8271,0,11553,2219,9447,0,11666,1928,9806,81,11815,2459,9318,0,11777,4054,12650,96,16800,4265,11996,293,16554,9362,3503,111,12976,7516,2423,10,9949,9440,3029,98,12567,8076,4253,97,12426,8258,4158,91,12507,9498,2999,134,12631,12113,3521,849,16483,12962,2817,312,16091,7528,4108,0,11636,9571,1786,182,11539,7675,3653,158,11486,8548,2597,0,11145,7602,3437,335,11374,9636,2251,129,12016,8583,2939,452,11974,10804,5402,151,16357
6,3615,5703,0,9318,2183,7223,0,9406,3638,5656,0,9294,3718,5578,0,9296,2572,6780,0,9352,2456,6936,111,9503,2840,6568,0,9408,4883,9139,238,14260,5057,8546,459,14062,6678,4350,130,11158,7242,1807,0,9049,6963,3702,143,10808,5514,5123,161,10798,5817,4843,146,10806,7126,3589,186,10901,8812,4433,867,14112,9556,3735,548,13839,5105,4413,0,9518,7183,2133,199,9515,4795,4351,286,9432,6182,2942,0,9124,5296,3705,398,9399,6945,2636,269,9850,6006,3376,462,9844,7866,6040,162,14068
7,4300,8288,0,12588,2453,10182,0,12635,4427,8155,0,12582,4445,8121,0,12566,2801,9823,0,12624,2623,10014,102,12739,3124,9569,0,12693,4571,12747,98,17416,4803,12056,331,17190,9291,4466,130,13887,9142,2735,0,11877,9438,3990,79,13507,7137,6290,81,13508,8082,5251,108,13441,9434,4028,100,13562,11831,4370,730,16931,12739,3577,347,16663,5971,6537,0,12508,9734,2332,231,12297,6219,5807,175,12201,8092,3787,0,11879,6924,4746,435,12105,8954,3214,588,12756,8321,3852,480,12653,10054,7155,134,17343
8,4567,5272,0,9839,3197,6616,0,9813,4486,5353,0,9839,4510,5321,0,9831,3356,6523,0,9879,3305,6436,111,9852,3716,6144,0,9860,5832,8765,151,14748,6015,8140,568,14723,6201,5344,146,11691,8105,2228,20,10353,6186,4981,231,11398,4733,6496,149,11378,5365,5778,251,11394,6088,5019,312,11419,8096,5564,976,14636,8960,4770,669,14399,3853,6838,0,10691,6563,3553,470,10586,3936,6293,276,10505,5348,4854,0,10202,4629,5296,637,10562,6378,4072,476,10926,5598,4708,590,10896,6798,8264,184,15246
9,4619,8327,0,12946,3159,9832,0,12991,4819,8139,0,12958,4568,8345,0,12913,3606,9374,0,12980,3389,9496,149,13034,3971,9057,0,13028,5857,11898,187,17942,6278,10998,545,17821,8729,5267,171,14167,9329,2914,14,12257,8786,4927,163,13876,7082,6614,173,13869,8242,5399,166,13807,8947,4833,196,13976,11058,5375,1022,17455,12109,4576,609,17294,6169,6535,0,12704,9163,3106,421,12690,5843,6391,308,12542,7719,4639,0,12358,6709,5182,640,12531,9216,3544,265,13025,7431,4868,662,12961,9340,8114,165,17619
10,4887,9111,0,13998,2880,11201,0,14081,4815,9183,0,13998,4822,9165,0,13987,3603,10447,0,14050,3395,10596,160,14151,4040,10152,0,14192,5989,13174,149,19312,6363,12467,340,19170,9534,5340,137,15011,9253,2891,41,12185,9629,4879,114,14622,7983,6445,134,14562,8533,5918,144,14595,10452,4236,111,14799,11976,5199,801,17976,13056,4198,466,17720,6651,5995,0,12646,9983,2565,167,12715,6335,5877,202,12414,8047,4064,2,12113,7030,4986,352,12368,9370,3554,139,13063,8023,4451,502,12976,10373,7443,158,17974
